route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
Limited,72982,401,San Francisco,0,,p_1438486,401,1,1
Limited,72982,405,San Francisco,0,,p_1438486,405,1,1
Limited,72982,409,San Francisco,0,,p_1438486,409,1,1
Limited,72982,413,San Francisco,0,,p_1438486,413,1,1
Limited,72982,417,San Francisco,0,,p_1438486,417,1,1
Limited,72982,421,San Francisco,0,,p_1438486,421,1,1
Limited,72982,425,San Francisco,0,,p_1438486,425,1,1
Limited,72982,429,San Francisco,0,,p_1438486,429,1,1
Limited,72982,404,San Jose Diridon,1,,p_1438487,404,1,1
Limited,72982,408,San Jose Diridon,1,,p_1438487,408,1,1
Limited,72982,412,San Jose Diridon,1,,p_1438487,412,1,1
Limited,72982,416,San Jose Diridon,1,,p_1438487,416,1,1
Limited,72982,420,San Jose Diridon,1,,p_1438487,420,1,1
Limited,72982,424,San Jose Diridon,1,,p_1438487,424,1,1
Limited,72982,428,San Jose Diridon,1,,p_1438487,428,1,1
South County,72982,814,Gilroy,1,,p_1438491,814,1,1
South County,81964,840,Gilroy,1,,p_1438491,840,1,1
South County,72982,816,Gilroy,1,,p_1438491,816,1,1
South County,72982,820,Gilroy,1,,p_1438491,820,1,1
South County,72982,822,Gilroy,1,,p_1438491,822,1,1
South County,81964,848,Gilroy,1,,p_1438491,848,1,1
South County,72982,805,San Jose Diridon,0,,p_1438490,805,1,1
South County,81964,819,San Jose Diridon,0,,p_1438490,819,1,1
South County,72982,807,San Jose Diridon,0,,p_1438490,807,1,1
South County,72982,809,San Jose Diridon,0,,p_1438490,809,1,1
South County,72982,811,San Jose Diridon,0,,p_1438490,811,1,1
South County,81964,825,San Jose Diridon,0,,p_1438490,825,1,1
Local Weekday,72982,113,San Francisco,0,,p_1440479,113,1,1
Local Weekday,81964,M113,San Francisco,0,,p_1440479,M113,1,1
Local Weekday,72982,141,San Francisco,0,,p_1440479,141,1,1
Local Weekday,81964,M141,San Francisco,0,,p_1440479,M141,1,1
Local Weekday,72982,108,San Jose Diridon,1,,p_1440480,108,1,1
Local Weekday,81964,M108,San Jose Diridon,1,,p_1440480,M108,1,1
Local Weekday,72982,140,San Jose Diridon,1,,p_1440480,140,1,1
Local Weekday,81964,M140,San Jose Diridon,1,,p_1440480,M140,1,1
Local Weekday,72982,102,San Jose Diridon,1,,p_1438440,102,1,1
Local Weekday,81964,M102,San Jose Diridon,1,,p_1438440,M102,1,1
Local Weekday,81964,M104,San Jose Diridon,1,,p_1438440,M104,1,1
Local Weekday,72982,104,San Jose Diridon,1,,p_1438440,104,1,1
Local Weekday,72982,106,San Jose Diridon,1,,p_1438440,106,1,1
Local Weekday,81964,M106,San Jose Diridon,1,,p_1438440,M106,1,1
Local Weekday,72982,110,San Jose Diridon,1,,p_1438440,110,1,1
Local Weekday,81964,M110,San Jose Diridon,1,,p_1438440,M110,1,1
Local Weekday,72982,112,San Jose Diridon,1,,p_1438440,112,1,1
Local Weekday,81964,M112,San Jose Diridon,1,,p_1438440,M112,1,1
Local Weekday,72982,114,San Jose Diridon,1,,p_1438440,114,1,1
Local Weekday,81964,M114,San Jose Diridon,1,,p_1438440,M114,1,1
Local Weekday,81964,M116,San Jose Diridon,1,,p_1438440,M116,1,1
Local Weekday,72982,116,San Jose Diridon,1,,p_1438440,116,1,1
Local Weekday,72982,118,San Jose Diridon,1,,p_1438440,118,1,1
Local Weekday,81964,M118,San Jose Diridon,1,,p_1438440,M118,1,1
Local Weekday,81964,M120,San Jose Diridon,1,,p_1438440,M120,1,1
Local Weekday,72982,120,San Jose Diridon,1,,p_1438440,120,1,1
Local Weekday,72982,122,San Jose Diridon,1,,p_1438440,122,1,1
Local Weekday,81964,M122,San Jose Diridon,1,,p_1438440,M122,1,1
Local Weekday,81964,M124,San Jose Diridon,1,,p_1438440,M124,1,1
Local Weekday,72982,124,San Jose Diridon,1,,p_1438440,124,1,1
Local Weekday,72982,126,San Jose Diridon,1,,p_1438440,126,1,1
Local Weekday,81964,M126,San Jose Diridon,1,,p_1438440,M126,1,1
Local Weekday,72982,128,San Jose Diridon,1,,p_1438440,128,1,1
Local Weekday,81964,M128,San Jose Diridon,1,,p_1438440,M128,1,1
Local Weekday,81964,M130,San Jose Diridon,1,,p_1438440,M130,1,1
Local Weekday,72982,130,San Jose Diridon,1,,p_1438440,130,1,1
